time,X
520.7524411648,524020.40625
520.7728752735,524021.84375
520.7933094822,523982.46875
520.8137434907,524023.90625
520.8341775992,523963.3125
520.8546118075,523997.78125
520.8750458158,523963.96875
520.8954799238,523992.78125
520.9159141317,523946.09375
520.9363481396,523984.375
520.9567822473,523951.34375
520.977216455,523855.96875
520.9976505625,523864.5
521.0180846698,523825.65625
521.038518777,523874.875
521.0589528843,523888.28125
521.0793869912,523942.0625
521.0998210981,523845.21875
521.120255105,523924.59375
521.1406893116,523888.8125
521.1611234181,523872.6875
521.1815574246,523845.8125
521.2019916308,523866
521.222425737,523818.5625
521.2428597431,523884.75
521.263293949,523862.0625
521.2837280548,523799.875
521.3041620606,523842.59375
521.3245962661,523753.40625
521.3450303716,523898.125
521.365464577,523821.5625
521.3858985822,523851.4375
521.4063326873,523771.59375
521.4267668924,523836.96875
521.4472008972,523814
521.4676350019,523822.6875
521.4880692066,523732.90625
521.5085033111,523774.1875
521.5289373155,523766.75
521.5493715197,523712.375
521.5698056239,523737.96875
521.5902396279,523703.4375
521.6106738318,523739.96875
521.6311079356,523713.125
521.6515419393,523763.40625
521.6719761428,523740.1875
521.6924102463,523708.5
521.7128442496,523680.09375
521.7332784528,523738.25
521.7741466588,523671.21875
521.7945807616,523732.8125
521.8150147644,523597
521.8354489669,523614.46875
521.8558830694,523572.34375
521.8763171717,523610.625
521.8967512739,523645.71875
521.917185376,523665.65625
521.937619478,523671.28125
521.9580535799,523664.4375
521.9784876816,523617.53125
521.9989217833,523620.9375
522.0193559847,523640.6875
522.0397899861,523624.6875
522.0602240873,523694.75
522.0806582885,523629.53125
522.1010922894,523672.71875
522.1215263904,523596.0625
522.1419605911,523597
522.1623945918,523633.375
522.1828287923,523608.625
522.2032628927,523563.96875
522.223696893,523633.96875
522.2441310931,523512.59375
522.2645651932,523606.0625
522.2849991931,523578.90625
522.3054333929,523554.875
522.3258674925,523566.625
522.3463015921,523518.90625
522.3667356915,523596.71875
522.3871697908,523531.34375
522.40760389,523594
522.428037989,523499.46875
522.448472088,523505.71875
522.4689061868,523440.59375
522.4893402855,523454.90625
522.5097743841,523442.6875
522.5302084825,523497.9375
522.5506425808,523481.1875
522.5710766791,523429.9375
522.5915108771,523461.03125
522.6119448751,523466.15625
522.6323789729,523465.03125
522.6528131706,523362.34375
522.6732471683,523416.15625
522.6936812657,523315.40625
522.714115463,523374.28125
522.7345494602,523425.96875
522.7549835573,523400.96875
522.7754177543,523327.59375
522.7958517512,523373.71875
522.8162858478,523391.15625
522.8367200444,523344.03125
522.8571541409,523407.21875
522.8775881373,523358.59375
522.8980223335,523443.21875
522.9184564297,523332.15625
522.9388905256,523324.9375
522.9593246215,523313.3125
522.9797587172,523297.75
523.0001928128,523358.875
523.0206269082,523304.125
523.0410610036,523389.53125
523.0614951989,523316.90625
523.0819291941,523391.4375
523.1023632891,523272.96875
523.1227973838,523321.25
523.1432314786,523290.5
523.1636654732,523310.125
523.1840996678,523260.03125
523.2045337621,523285.0625
523.2249677564,523283.8125
